OBJECTID,WatershedID,ReachCode,predicted_capacity,dam_density,percent_capacity,Shape_Length
1,1807030203,33400,1.63,0,0,0.000110227
2,1807030203,33400,0.6,0,0,0.001614442
3,1807030203,33400,0.6,0,0,0.002454928
4,1807030203,33400,0.62,0,0,0.002267974
5,1807030203,33400,3.22,0,0,0.002834193
6,1807030203,33400,0.58,0,0,0.001874017
7,1807030203,33400,2.25,0,0,0.002814997
8,1807030203,33400,10.52,0,0,0.000924391
9,1807030203,33400,0.58,0,0,0.001466747
10,1807030203,33400,2.56,0,0,0.000786347
11,1807030203,33400,6.38,0,0,0.003096388
12,1807030203,33400,11.79,0,0,0.000683179
13,1807030203,33400,0.64,0,0,0.00274468
14,1807030203,33400,0.63,0,0,0.002764776
15,1807030203,33400,0.64,0,0,0.002497746
16,1807030203,33400,0.49,0,0,0.003068074
17,1807030203,33400,0.62,0,0,0.002848859
18,1807030203,33400,0.61,0,0,0.002787661
19,1807030203,33400,2.4,0,0,0.001045973
20,1807030203,33400,0.61,0,0,0.000605817
21,1807030203,33400,1.3,0,0,0.000370173
22,1807030203,33400,21.79,0,0,0.000518449
23,1807030203,33400,6.89,0,0,0.002433478
24,1807030203,33400,2.04,0,0,0.001103562
25,1807030203,33400,0.59,0,0,0.000563408
26,1807030203,33400,0.62,0,0,0.003006733
27,1807030203,33400,0.62,0,0,0.001155985
28,1807030203,33400,0.63,0,0,0.000448207
29,1807030203,33400,0.58,0,0,0.001415048
30,1807030203,33400,0.63,0,0,2.92975E-05
31,1807030203,33400,0.65,0,0,0.001035226
32,1807030203,33400,0.63,0,0,0.000292926
33,1807030203,33400,0.65,0,0,0.001753099
34,1807030203,33400,0.63,0,0,0.000458737
35,1807030203,33400,0.59,0,0,0.000323856
36,1807030203,33400,0.63,0,0,0.000136536
37,1807030203,33400,0.63,0,0,0.000595185
38,1807030203,33400,0.62,0,0,0.000439978
39,1807030203,33400,0.59,0,0,0.000370881
40,1807030203,33400,0.6,0,0,4.96404E-05
41,1807030203,33400,0.61,0,0,0.000624435
42,1807030203,33400,0.62,0,0,0.001721304
43,1807030203,33400,3.4,0,0,0.000651822
44,1807030203,33400,1.63,0,0,0.002876773
45,1807030203,33400,0.57,0,0,0.001499906
46,1807030203,33400,0.61,0,0,0.000483393
47,1807030203,33400,0.64,0,0,0.000488185
48,1807030203,33400,0.61,0,0,0.00085181
49,1807030203,33400,5.12,0,0,0.001311981
50,1807030203,33400,2.75,0,0,0.002035764
51,1807030203,33400,0.58,0,0,0.001751797
52,1807030203,33400,10.63,0,0,0.001977899
